Words, Inverted Index 
one wish, 32, 1 
wish dark, 1 
dark tree, 1 
tree old, 1 
old firm, 1 
firm scar, 1 
scar show, 1 
show breeze, 1 
breeze were, 1 
were mere, 1 
mere mask, 1 
mask gloom, 1 
gloom stretch, 1 
stretch away, 1 
away unto, 1 
unto edge, 1 
edge doom, 1 
doom withhold, 1 
withhold day, 1 
day vast, 1 
vast steal, 1 
steal away, 1 
away fearless, 1 
fearless ever, 1 
ever find, 1 
find open, 1 
open land, 1 
land highway, 1 
highway slow, 1 
slow wheel, 1 
wheel pour, 1 
pour sand, 1 
sand see, 1 
see who, 1 
who e, 1 
e er, 1 
er turn, 1 
turn back, 1 
back set, 1 
set forth, 1, 50 
forth upon, 1 
upon track, 1 
track overtake, 1 
overtake miss, 1 
miss long, 1 
long know, 1 
know still, 1 
still hold, 1 
hold dear, 1 
dear would, 1 
would find, 1 
find change, 1 
change know, 1 
know only, 1 
only sure, 1 
sure think, 1 
think wa, 1 
wa true, 1, 26 
dwell lone, 2 
lone house, 2, 46 
house know, 2 
know vanish, 2 
vanish man, 2 
man summer, 2 
summer ago, 2 
ago leave, 2 
leave trace, 2 
trace cellar, 2 
cellar wall, 2 
wall cellar, 2 
cellar daylight, 2 
daylight fall, 2 
fall purple, 2 
purple stem, 2 
stem wild, 2 
wild raspberri, 2 
raspberri grow, 2 
grow er, 2 
er ruin, 2 
ruin fence, 2 
fence grape, 2 
grape vine, 2 
vine shield, 2 
shield wood, 2 
wood come, 2, 28 
come back, 2, 28, 45 
back now, 2 
now field, 2, 5 
field orchard, 2 
orchard tree, 2 
tree ha, 2 
ha grow, 2 
grow one, 2 
one cop, 2 
cop new, 2 
new wood, 2 
wood old, 2 
old woodcock, 2 
woodcock chop, 2 
chop footpaths, 2 
footpaths well, 2 
well heal, 2 
heal dwell, 2 
dwell strange, 2 
strange each, 2 
each heart, 2 
heart vanish, 2 
vanish abode, 2 
abode far, 2 
far apart, 2 
apart disuse, 2 
disuse forget, 2 
forget road, 2 
road ha, 2 
ha dust, 2 
dust bath, 2 
bath told, 2 
told night, 2 
night come, 2 
come black, 2 
black bat, 2 
bat tumble, 2 
tumble dart, 2 
dart whippoorwil, 2 
whippoorwil come, 2 
come shout, 2 
shout hush, 2 
hush clock, 2 
clock flutter, 2 
flutter hear, 2 
hear begin, 2 
begin far, 2 
far enough, 2 
enough away, 2 
away full, 2 
full man, 2 
man time, 2 
time say, 2 
say hi, 2 
hi say, 2 
say before, 2 
before arrive, 2 
arrive say, 2 
say small, 2 
small dim, 2 
dim summer, 2 
summer star, 2 
star know, 2 
know mute, 2 
mute folk, 2 
folk share, 2 
share unit, 2 
unit place, 2 
place stone, 2 
stone low, 2 
low limb, 2 
limb tree, 2 
tree doubtless, 2 
doubtless bear, 2 
bear name, 2 
name moss, 2 
moss may, 2 
may tireless, 2 
tireless folk, 2 
folk slow, 2 
slow sad, 2 
sad though, 2 
though two, 2 
two close, 2 
close keep, 2 
keep last, 2 
last lad, 2 
lad none, 2 
none among, 2 
among ever, 2 
ever sing, 2 
sing yet, 2 
yet view, 2 
view man, 2 
man thing, 2 
thing sweet, 2 
sweet companion, 2 
companion may, 2 
sorrow think, 3 
think dark, 3 
dark day, 3 
day autumn, 3 
autumn rain, 3 
rain beauty, 3 
beauty day, 3 
day love, 3 
love bare, 3 
bare either, 3 
either tree, 3 
tree walk, 3 
walk sodden, 3 
sodden pasteur, 3 
pasteur lane, 3 
lane pleasure, 3 
pleasure let, 3 
let stay, 3 
stay talk, 3 
talk fain, 3 
fain list, 3, 15 
list glad, 3 
glad bird, 3 
bird go, 3 
go away, 3, 47 
away glad, 3 
glad simple, 3 
simple bad, 3 
bad gray, 3 
gray silver, 3 
silver ll, 3 
ll mist, 3 
mist devil, 3 
devil desert, 3 
desert tree, 3 
tree fade, 3 
fade earth, 3 
earth heavy, 3 
heavy sky, 3 
sky beauty, 3 
beauty truly, 3 
truly see, 3 
see think, 3 
think eye, 3 
eye vex, 3 
vex reason, 3 
reason who, 3 
who yesterday, 3 
yesterday learn, 3 
learn know, 3 
know love, 3 
bare november, 3 
november day, 3 
day before, 3 
before come, 3, 23 
come snow, 3 
snow vain, 3 
vain tell, 3 
tell good, 3 
good pray, 3 
stranger come, 4 
come door, 4 
door eve, 4 
eve speak, 4 
speak bridegroom, 4 
bridegroom fair, 4 
fair bear, 4 
bear green, 4 
green white, 4 
white stick, 4 
stick hi, 4 
hi hand, 24, 33, 43, 4 
hand burden, 4 
burden care, 4 
care ask, 4 
ask eye, 4 
eye lip, 4 
lip shelter, 4 
shelter night, 4 
night turn, 4 
turn look, 4 
look road, 4 
road afar, 4 
afar without, 4 
without window, 4 
window light, 8, 4, 15 
light bridegroom, 4 
bridegroom come, 4 
come forth, 24, 4, 28 
forth porch, 4 
porch let, 4 
let us, 4, 47 
us look, 4 
look sky, 4 
sky question, 4 
question night, 4 
night strange, 4 
strange wooden, 4 
wooden leave, 4 
leave litter, 4 
litter yard, 4 
yard wooden, 4 
wooden burri, 4 
burri blue, 4 
blue autumn, 4 
autumn ye, 4 
ye winter, 4 
winter wa, 4 
wa wind, 4 
wind stranger, 4 
stranger wish, 4 
wish know, 4 
know within, 4 
within bride, 4 
bride dusk, 4 
dusk along, 4 
along bent, 4 
bent open, 4 
open fire, 4 
fire face, 4 
face rise, 4 
rise red, 4 
red glow, 4 
glow coal, 4 
coal thought, 4 
thought heart, 4 
heart desire, 4 
desire bridegroom, 4 
bridegroom look, 4 
look weary, 4 
weary road, 4 
road yet, 4 
yet see, 4 
see within, 4 
within wish, 4 
wish heart, 4 
heart case, 4 
case gold, 4 
gold pin, 4 
pin silver, 4 
silver pin, 4 
pin bridegroom, 4 
bridegroom think, 4 
think little, 4 
little give, 4 
give dole, 4 
dole bread, 4 
bread our, 4 
our heartfelt, 4 
heartfelt prayer, 4 
prayer poor, 4 
poor god, 4 
god rich, 4 
rich our, 4 
our whether, 4 
whether man, 4 
man wa, 4, 31 
wa ask, 4 
ask may, 4 
may love, 4 
love two, 4 
two harbor, 4 
harbor woe, 4 
woe bridal, 4 
bridal house, 4 
house bridegroom, 4 
bridegroom wish, 4 
go now, 5 
field heedless, 5 
heedless aftermath, 5 
aftermath smooth, 5 
smooth lay, 5 
lay like, 5 
like thatch, 5 
thatch heavy, 5 
heavy dew, 5, 15 
dew half, 5 
half close, 5 
close garden, 5 
garden path, 5 
path come, 5 
come garden, 5 
garden grind, 5 
grind whip, 5 
whip sober, 5 
sober bird, 5 
bird tangle, 5 
tangle weed, 5 
weed sad, 5 
sad and, 5 
and word, 5 
word tree, 5 
tree beside, 5 
beside wall, 5 
wall stand, 5 
stand bare, 5 
bare leaf, 5 
leaf linger, 5 
linger brown, 5 
brown disturb, 5 
disturb doubt, 5 
doubt thought, 5 
thought come, 5 
come softly, 5 
softly rattle, 5 
rattle end, 5 
end far, 5 
far go, 5 
go forth, 5 
forth pick, 5 
pick fade, 5 
fade blue, 5 
blue last, 5 
last remain, 5 
remain after, 5 
after flower, 5 
flower carry, 5 
countless congress, 6 
congress er, 6 
er tumult, 6 
tumult snow, 6 
snow flow, 6 
flow shape, 6 
shape tall, 6 
tall tree, 6 
tree wintry, 6 
wintry wind, 6 
wind blow, 6 
blow keen, 6 
keen fate, 6 
fate faster, 6 
faster step, 6 
step white, 6 
white rest, 6 
rest place, 6 
place rest, 6 
rest india, 6 
india dawn, 6 
dawn yet, 6 
yet neither, 6 
neither love, 6 
love hate, 6 
hate star, 6 
star like, 6 
like snow, 6 
snow white, 6 
white miners, 6 
miners snow, 6 
white marble, 6 
marble eye, 6 
eye without, 6 
without gift, 6 
gift sight, 6 
wind work, 7 
work us, 7 
us dark, 7 
dark pelt, 7 
pelt snow, 7 
snow low, 7 
low chamber, 7 
chamber window, 7 
window east, 7 
east whisper, 7 
whisper sort, 7 
sort still, 7 
still bark, 7 
bark beast, 7 
beast come, 7 
come come, 7 
come cost, 7 
cost inward, 7 
inward struggle, 7 
struggle go, 7 
go ah, 7 
ah count, 7 
count strength, 7 
strength two, 7 
two child, 7 
child us, 7 
us asleep, 7 
asleep subdue, 7 
subdue mark, 7 
mark cold, 7 
cold creep, 7 
creep fire, 7 
fire die, 7 
die length, 7 
length drift, 7 
drift pile, 7 
pile dockyard, 7 
dockyard road, 7 
road unload, 7 
unload till, 7 
till even, 7 
even comfort, 7 
comfort barn, 7 
barn grow, 7 
grow far, 7 
far away, 10, 29, 46, 7 
away heart, 7 
heart doubt, 7 
doubt whether, 26, 7 
whether ti, 7 
ti us, 7 
us arms, 7 
arms day, 7 
day save, 7 
save yourself, 7 
yourself unpaid, 7 
lover forget, 8 
forget love, 8 
love list, 8 
list love, 8 
love window, 8 
window flower, 8 
flower winter, 8 
winter breeze, 8 
breeze frost, 8 
frost window, 8 
window veil, 8 
veil wa, 8 
wa melt, 8 
melt noon, 8 
noon caged, 8 
caged yellow, 8 
yellow bird, 8 
bird hang, 8 
hang tune, 8 
tune mark, 8 
mark pane, 8 
pane could, 8 
could help, 8 
help mark, 8 
mark only, 8 
only pass, 8 
pass come, 8 
come dark, 8 
dark wa, 8 
wa winter, 8 
winter wind, 8 
wind concern, 8 
concern ice, 8 
ice snow, 8 
snow dead, 8 
dead weed, 8 
weed unit, 8 
unit bird, 8 
bird little, 8 
little love, 8 
love could, 8 
could know, 8 
know sigh, 8 
sigh upon, 8 
upon sill, 8 
sill give, 8 
give sash, 8 
sash shake, 8 
shake wit, 8 
wit within, 8 
within lie, 8 
lie night, 8 
night away, 8 
away perchance, 8 
perchance half, 8 
half prevail, 8 
prevail win, 8 
win flight, 8 
flight fidelity, 8 
fidelity look, 8 
look glass, 8 
glass warm, 8 
warm stove, 8 
stove window, 8 
light flower, 8 
flower lean, 8 
lean said, 8 
said thought, 8 
thought naught, 8 
naught say, 8 
say more, 8 
more find, 8 
find breeze, 8 
breeze under, 8 
under mile, 8 
mile away, 8 
come rain, 9 
rain loud, 9 
loud southwest, 9 
southwest bring, 9 
bring singer, 9 
singer bring, 9 
bring fester, 9 
fester give, 9 
give burn, 9 
burn flower, 9 
flower dream, 9 
dream make, 9 
make settle, 9 
settle snow, 9 
snow bank, 9 
bank steam, 9 
steam find, 9 
find brown, 9 
brown beneath, 9 
beneath white, 9 
white what, 9 
what er, 9 
er night, 9 
night bath, 9 
bath window, 9 
window make, 9 
make flow, 9 
flow melt, 9 
melt ice, 9 
ice go, 9 
go melt, 9 
melt glass, 9 
glass leave, 9 
leave stick, 9, 37 
stick like, 9 
like hermit, 9 
hermit crucify, 9 
crucify burst, 9 
burst narrow, 9 
narrow stall, 9 
stall swing, 9 
swing picture, 9 
picture wall, 9 
wall run, 9 
run rattle, 9 
rattle page, 9 
page er, 9 
er scatter, 9 
scatter poem, 9 
poem floor, 9 
floor turn, 9 
turn poet, 9 
poet door, 9 
oh give, 10 
give us, 10 
us pleasure, 10 
pleasure flower, 10 
flower day, 10 
day give, 10 
us think, 10 
think far, 10 
away uncertain, 10 
uncertain harvest, 10 
harvest keep, 10 
keep us, 10 
us simple, 10 
simple spring, 10 
spring year, 10 
year oh, 10 
pleasure orchard, 10 
orchard white, 10 
white like, 10 
like not, 10 
not el, 10 
el day, 10 
day like, 10 
like ghost, 10, 37 
ghost night, 10 
night make, 10 
make us, 10 
us happy, 10 
happy happy, 10 
happy bee, 10 
bee swarm, 10 
swarm dilate, 10 
dilate round, 10 
round perfect, 10 
perfect tree, 10 
tree make, 10 
happy dart, 10 
dart bird, 10 
bird suddenly, 10 
suddenly above, 10 
above bee, 10 
bee hear, 10 
hear method, 10 
method thrust, 10 
thrust need, 10 
need bill, 10 
bill blossom, 10 
blossom mid, 10 
mid air, 10 
air stand, 10 
stand still, 41, 10 
still the, 10 
the love, 10 
love not, 10 
el love, 10 
love reserve, 10 
reserve god, 10 
god above, 10 
above sanction, 10 
sanction far, 10 
far end, 10 
end only, 10 
only need, 10 
need fulfil, 10 
leave more, 11 
more more, 11 
more glow, 11 
glow walk, 11 
walk way, 11 
way beside, 11 
beside make, 11 
make sad, 11 
sad go, 11 
go know, 11 
know gloom, 11 
gloom gaunt, 11 
gaunt dust, 11 
dust grey, 11 
